movie,movie decription,movie genre,Thriller,Mystery,Sci-Fi,Romance,Horror,Fantasy,Musical,Family,Action,Biography,Crime,Animation,Comedy,Drama,History,Adventure,movie_genre,id
Bright,"
    A detective must work with an Orc to find a powerful wand before evil creatures do.","
Action, Crime, Fantasy            ",0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,"['Action', ' Crime', ' Fantasy']",5228
"I, Tonya","
    Competitive ice skater Tonya Harding rises amongst the ranks at the U.S. Figure Skating Championships, but her future in the activity is thrown into doubt when her ex-husband intervenes.","
Biography, Comedy, Drama            ",0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,"['Biography', ' Comedy', ' Drama']",5229
Valerian and the City of a Thousand Planets,"
    A dark force threatens Alpha, a vast metropolis and home to species from a thousand planets. Special operatives Valerian and Laureline must race to identify the marauding menace and safeguard not just Alpha, but the future of the universe.","
Action, Adventure, Fantasy            ",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,"['Action', ' Adventure', ' Fantasy']",5230
Baywatch,"
    Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit, as they uncover a criminal plot that threatens the future of the bay.","
Action, Comedy, Crime            ",0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,"['Action', ' Comedy', ' Crime']",5231
Darkest Hour,"
    In May 1940, the fate of Western Europe hangs on British Prime Minister Winston Churchill, who must decide whether to negotiate with Adolf Hitler, or fight on knowing that it could mean a humiliating defeat for Britain and its empire.","
Biography, Drama, History            ",0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,"['Biography', ' Drama', ' History']",5232
American Made,"
    The story of Barry Seal, an American pilot who became a drug-runner for the CIA in the 1980s in a clandestine operation that would be exposed as the Iran-Contra Affair.","
Action, Biography, Comedy            ",0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,"['Action', ' Biography', ' Comedy']",5233
Transformers: The Last Knight,"
    A deadly threat from Earth's history reappears, and a hunt for a lost artifact takes place between Autobots and Decepticons, while Optimus Prime encounters his creator in space.","
Action, Adventure, Sci-Fi            ",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,"['Action', ' Adventure', ' Sci-Fi']",5234
The Lego Batman Movie,"
    A cooler-than-ever Bruce Wayne must deal with the usual suspects as they plan to rule Gotham City, while discovering that he has accidentally adopted a teenage orphan who wishes to become his sidekick.","
Animation, Action, Comedy            ",0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,"['Animation', ' Action', ' Comedy']",5235
Logan,"
    In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.","
Action, Drama, Sci-Fi            ",0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,"['Action', ' Drama', ' Sci-Fi']",5236
Wonder Woman,"
    When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.","
Action, Adventure, Fantasy            ",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,"['Action', ' Adventure', ' Fantasy']",5237
Thor: Ragnarok,"
    Thor (Chris Hemsworth) is imprisoned on the planet Sakaar, and must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela (Cate Blanchett).","
Action, Adventure, Comedy            ",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,"['Action', ' Adventure', ' Comedy']",5238
Guardians of the Galaxy Vol. 2,"
    The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.","
Action, Adventure, Comedy            ",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,"['Action', ' Adventure', ' Comedy']",5239
Dunkirk,"
    Allied soldiers from Belgium, the British Empire, and France are surrounded by the German Army, and evacuated during a fierce battle in World War II.","
Action, Drama, History            ",0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,"['Action', ' Drama', ' History']",5240
Star Wars: Episode VIII - The Last Jedi,"
    Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares for battle with the First Order.","
Action, Adventure, Fantasy            ",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,"['Action', ' Adventure', ' Fantasy']",5241
Spider-Man: Homecoming,"
    Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City.","
Action, Adventure, Sci-Fi            ",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,"['Action', ' Adventure', ' Sci-Fi']",5242
Get Out,"
    A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.","
Horror, Mystery, Thriller            ",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"['Horror', ' Mystery', ' Thriller']",5243
Blade Runner 2049,"
    A young blade runner's discovery of a long-buried secret leads him to track down former blade runner Rick Deckard, who's been missing for thirty years.","
Drama, Mystery, Sci-Fi            ",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"['Drama', ' Mystery', ' Sci-Fi']",5244
Baby Driver,"
    After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.","
Action, Crime, Drama            ",0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,"['Action', ' Crime', ' Drama']",5245
It,"
    In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.","
Horror, Thriller            ",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"['Horror', ' Thriller']",5246
"Three Billboards Outside Ebbing, Missouri","
    A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.","
Crime, Drama            ",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"['Crime', ' Drama']",5247
Justice League,"
    Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists the help of his new-found ally, Diana Prince, to face an even greater enemy.","
Action, Adventure, Fantasy            ",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,"['Action', ' Adventure', ' Fantasy']",5248
The Shape of Water,"
    At a top secret research facility in the 1960s, a lonely janitor forms a unique relationship with an amphibious creature that is being held in captivity.","
Adventure, Drama, Fantasy            ",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,"['Adventure', ' Drama', ' Fantasy']",5249
John Wick: Chapter 2,"
    After returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life.","
Action, Crime, Thriller            ",1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,"['Action', ' Crime', ' Thriller']",5250
Coco,"
    Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.","
Animation, Adventure, Comedy            ",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"['Animation', ' Adventure', ' Comedy']",5251
Jumanji: Welcome to the Jungle,"
    Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.","
Action, Adventure, Comedy            ",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,"['Action', ' Adventure', ' Comedy']",5252
Kong: Skull Island,"
    After the Vietnam war, a team of scientists explores an uncharted island in the Pacific, venturing into the domain of the mighty Kong, and must fight to escape a primal Eden.","
Action, Adventure, Fantasy            ",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,"['Action', ' Adventure', ' Fantasy']",5253
Beauty and the Beast,"
    A selfish prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner.","
Family, Fantasy, Musical            ",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,"['Family', ' Fantasy', ' Musical']",5254
Kingsman: The Golden Circle,"
    When their headquarters are destroyed and the world is held hostage, the Kingsman's journey leads them to the discovery of an allied spy organization in the United States. These two elite secret organizations must band together to defeat a common enemy.","
Action, Adventure, Comedy            ",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,"['Action', ' Adventure', ' Comedy']",5255
Pirates of the Caribbean: Dead Men Tell No Tales,"
    Captain Jack Sparrow searches for the trident of Poseidon while being pursued by an undead sea captain and his crew.","
Action, Adventure, Fantasy            ",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,"['Action', ' Adventure', ' Fantasy']",5256
Alien: Covenant,"
    The crew of a colony ship, bound for a remote planet, discover an uncharted paradise with a threat beyond their imagination, and must attempt a harrowing escape.","
Horror, Sci-Fi, Thriller            ",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"['Horror', ' Sci-Fi', ' Thriller']",5257
War for the Planet of the Apes,"
    After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind.","
Action, Adventure, Drama            ",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,"['Action', ' Adventure', ' Drama']",5258
The Greatest Showman,"
    Celebrates the birth of show business and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation.","
Biography, Drama, Musical            ",0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,"['Biography', ' Drama', ' Musical']",5259
Life,"
    A team of scientists aboard the International Space Station discover a rapidly evolving life form that caused extinction on Mars and now threatens all life on Earth.","
Horror, Sci-Fi, Thriller            ",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"['Horror', ' Sci-Fi', ' Thriller']",5260
The Fate of the Furious,"
    When a mysterious woman seduces Dom into the world of terrorism and a betrayal of those closest to him, the crew face trials that will test them as never before.","
Action, Adventure, Thriller            ",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"['Action', ' Adventure', ' Thriller']",5261
Murder on the Orient Express,"
    When a murder occurs on the train on which he's travelling, celebrated detective Hercule Poirot is recruited to solve the case.","
Crime, Drama, Mystery            ",0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"['Crime', ' Drama', ' Mystery']",5262
Lady Bird,"
    In 2002, an artistically inclined seventeen-year-old girl comes of age in Sacramento, California.","
Comedy, Drama            ",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"['Comedy', ' Drama']",5263
Ghost in the Shell,"
    In the near future, Major Mira Killian is the first of her kind: A human saved from a terrible crash, who is cyber-enhanced to be a perfect soldier devoted to stopping the world's most dangerous criminals.","
Action, Drama, Sci-Fi            ",0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,"['Action', ' Drama', ' Sci-Fi']",5264
Wind River,"
    A veteran hunter helps an FBI agent investigate the murder of a young woman on a Wyoming Native American reservation.","
Crime, Drama, Mystery            ",0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"['Crime', ' Drama', ' Mystery']",5265
King Arthur: Legend of the Sword,"
    Robbed of his birthright, Arthur comes up the hard way in the back alleys of the city. But once he pulls the sword from the stone, he is forced to acknowledge his true legacy - whether he likes it or not.","
Action, Adventure, Drama            ",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,"['Action', ' Adventure', ' Drama']",5266
The Hitman's Bodyguard,"
    The world's top bodyguard gets a new client, a hitman who must testify at the International Criminal Court. They must put their differences aside and work together to make it to the trial on time.","
Action, Comedy, Thriller            ",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"['Action', ' Comedy', ' Thriller']",5267
Mother!,"
    A couple's relationship is tested when uninvited guests arrive at their home, disrupting their tranquil existence.","
Drama, Horror, Mystery            ",0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"['Drama', ' Horror', ' Mystery']",5268
Call Me by Your Name,"
    In 1980s Italy, a romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant.","
Drama, Romance            ",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"['Drama', ' Romance']",5269
The Mummy,"
    An ancient Egyptian princess is awakened from her crypt beneath the desert, bringing with her malevolence grown over millennia, and terrors that defy human comprehension.","
Action, Adventure, Fantasy            ",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,"['Action', ' Adventure', ' Fantasy']",5270
Atomic Blonde,"
    An undercover MI6 agent is sent to Berlin during the Cold War to investigate the murder of a fellow agent and recover a missing list of double agents.","
Action, Mystery, Thriller            ",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"['Action', ' Mystery', ' Thriller']",5271
Bright,"
    A detective must work with an Orc to find a powerful wand before evil creatures do.","
Action, Crime, Fantasy            ",0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,"['Action', ' Crime', ' Fantasy']",5272
"I, Tonya","
    Competitive ice skater Tonya Harding rises amongst the ranks at the U.S. Figure Skating Championships, but her future in the activity is thrown into doubt when her ex-husband intervenes.","
Biography, Comedy, Drama            ",0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,"['Biography', ' Comedy', ' Drama']",5273
Valerian and the City of a Thousand Planets,"
    A dark force threatens Alpha, a vast metropolis and home to species from a thousand planets. Special operatives Valerian and Laureline must race to identify the marauding menace and safeguard not just Alpha, but the future of the universe.","
Action, Adventure, Fantasy            ",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,"['Action', ' Adventure', ' Fantasy']",5274
Baywatch,"
    Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit, as they uncover a criminal plot that threatens the future of the bay.","
Action, Comedy, Crime            ",0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,"['Action', ' Comedy', ' Crime']",5275
Darkest Hour,"
    In May 1940, the fate of Western Europe hangs on British Prime Minister Winston Churchill, who must decide whether to negotiate with Adolf Hitler, or fight on knowing that it could mean a humiliating defeat for Britain and its empire.","
Biography, Drama, History            ",0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,"['Biography', ' Drama', ' History']",5276
